cltn_id,cltn_name,t_age,b_age,pbdb_occs,genus_no,taxon_no,unit_id,col_id,refs,strat_name_concept_id
228,"SS-24, Simpson Spring Mountains",458.4,465.5,7,20395|155129|20422|20357|20738|19252,"20395,155129,117703,20357,20738,19252",2084,58,8,14926
237,"Marathon Uplift, Woods Hollow Boulders Fm., Aphelaspis Zone",457.45,460.5,8,19230|20204|19855|20791|19302|20765|19242|20160,"19230,20204,19855,20791,19302,20765,19242,20160",2146,59,8,14926
244,"SW Richey Field, Deadwood Fm., Elvinia zone",479.625,502.25,5,20484|26371|26383|19985|26507,"20484,26371,26383,19985,65297",9412,339,8,7864
246,"SW Richey Field, Deadwood Fm., Conaspis zone",479.625,502.25,16,20416|20840|26436|26758|20484|19302|26371|20378|19985|20160|26507|20381|20110|20197|26383|19899,"20416,20840,26436,371667,20484,19302,26371,20378,19985,20160,26507,20381,20110,20197,26383,19899",9412,339,8,7864
251,"Bear River Range, Ptychaspis subzone, St. Charles Fm.",483.475,495.725,17,26383|7874|19991|20333|26436|20183|20989|19302|26689|20231|19601|7746|20162|20725,"26383,7874,19991,20333,26436,31058,20183,20989,19302,26689,0,20231,19601,7746,20162,20725",14482,477,8,10547
253,"Stansbury Mtns., House Range",483.475,493.2167,2,8035|8285,"74527,8285",14175,471,8,9550
257,"H-1. near road entering east end of Crossman Quarry, north of Whitehall Village",483.475,493.575,6,20367|8454|19898|9000|19958|20139,"20367,8454,19898,8515,9000,19958,179262",10248,315,8,4387
258,"SW Richey Field, Deadwood Fm., Saukia Zone",479.625,502.25,15,20688|20184|26436|19228|20066|33536|26552|19302|20851|33551|26371|19933|20873|26665|26383,"20688,20184,26436,19228,20066,33536,26552,19302,20849,33551,26371,19933,20873,26665,26383",9412,339,8,7864
270,"SW Richey Field-Williston Basin, Zone A, Deadwood Fm.",479.625,502.25,8,19228|33673|20507|26371|20201|26552|26665|33551,"19228,33673,20507,26371,20201,26552,26665,33551",9412,339,8,7864
271,"Zones B & C, Tanyard Formation",479.625,485.4,22,9229|28314|12352|8482|4932|9247|26781|12387|8471|20811|19601|12366|8478|8141|28319|12342|12400|8826|12349,"9229,28314,12352,8482,4932,8654,26781,12387,8471,20811,57705,19601,0,12366,8478,8141,9247,28319,12342,12400,8826,12349",5677,163,8,10780
