unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences,lith,environ,econ,measure,notes,color,text_color,t_int_id,t_int_name,t_int_age,t_prop,units_above,b_int_id,b_int_name,b_int_age,b_prop,units_below,strat_name_long,refs,clat,clng,t_plat,t_plng,b_plat,b_plng
39067,10258,1703,8,26951.887,unnamed,NA,NA,NA,NA,NA,145,4000,0,0,NA,0,0,igneous igneous igneous  ~ 1,NA,NA,NA,NA,#FDA2A2,#000000,48,Jurassic,145,1,0,190,Precambrian,4000,0,0,NA,32,-34.322,-72.377,0,0,0,0
39075,10261,1704,8,21308.006,unnamed,NA,NA,NA,NA,NA,145,4000,0,0,NA,0,0,igneous igneous igneous  ~ 1,NA,NA,NA,NA,#FDA2A2,#000000,48,Jurassic,145,1,0,190,Precambrian,4000,0,0,NA,32,-34.937,-73.115,0,0,0,0
39508,10424,1724,8,44401.309,unnamed,NA,NA,NA,NA,NA,201.3,541,0,0,NA,0,0,igneous igneous igneous  ~ 1,NA,NA,NA,NA,#FDA2A2,#000000,63,Triassic,201.3,1,0,74,Paleozoic,541,0,0,NA,39,-21.607,-69.357,0,0,0,0
39509,10425,1725,8,38672.137,unnamed,NA,NA,NA,NA,NA,201.3,541,0,0,NA,0,0,igneous igneous igneous  ~ 1,NA,NA,NA,NA,#FDA2A2,#000000,63,Triassic,201.3,1,0,74,Paleozoic,541,0,0,NA,39,-25.455,-69.517,0,0,0,0
34280,8529,1484,1,21179.861,Nisutlin Allochthon,9455,NA,Nisutlin Allochthon,NA,NA,213.125,618.25,1875,0,NA,0,0,muscovite quartz mylonite metamorphic metamorphic  ~ 0.7143|flaser beds marble metasedimentary metamorphic  ~ 0.1429| volcanic volcanic igneous  ~ 0.1429,NA,NA,NA,sheared volcanics,#FCF768,#000000,66,Norian,208.5,0.75,0,203,Hadrynian,850,0.75,0,Nisutlin Allochthon Formation,10,61.031,-133.199,33.144,-47.772,0,0
5783,1348,167,1,23744.41,Frontal Ouachita Facies,NA,NA,NA,NA,NA,312,470,8000,0,NA,0,0,chert chemical sedimentary  ~ 0.3333| sandstone siliciclastic sedimentary  ~ 0.3333| shale siliciclastic sedimentary  ~ 0.3333,marine  marine,NA,NA,NA,#999999,#000000,140,Atokan,312,1,5781,168,Whiterock,470,0,0,NA,1,31.85,-97.116,-8.704,-33.696,3.671,-118.18
5805,1355,168,1,28585.654,Frontal Ouachita Facies,NA,NA,NA,NA,NA,312,471.925,3000,0,NA,0,0,chert chemical sedimentary  ~ 0.3333| sandstone siliciclastic sedimentary  ~ 0.3333| shale siliciclastic sedimentary  ~ 0.3333,inferred marine  marine,NA,NA,NA,#999999,#000000,140,Atokan,312,1,0,120,Arenigian,477.7,0.47336,5807,NA,1,29.658,-100.378,-8.911,-37.29,6.328,-121.069
5806,1355,168,1,28585.654,Interior Ouachita Facies,NA,NA,NA,NA,NA,312,471.925,3000,0,NA,0,0,shale siliciclastic sedimentary  ~ 0.4167| limestone carbonate sedimentary  ~ 0.0833| phyllite metasedimentary metamorphic  ~ 0.4167| marble metasedimentary metamorphic  ~ 0.0833,inferred marine  marine,NA,NA,NA,#5A4633,#000000,140,Atokan,312,1,0,120,Arenigian,477.7,0.47336,5807,NA,1,29.658,-100.378,-8.911,-37.29,6.328,-121.069
25759,7400,1247,7,55625.934,Omoa Fm,9134,NA,Omoa,NA,NA,313.6666,478.9834,0,0,NA,0,0,gneiss metamorphic metamorphic  ~ 0.3125| amphibolite metamorphic metamorphic  ~ 0.3125| schist metamorphic metamorphic  ~ 0.3125| marble metasedimentary metamorphic  ~ 0.0625,NA,NA,NA,NA,#634C2E,#000000,405,Westphalian,307,0.16668,25760,121,Tremadocian,485.4,0.83332,25758,Omoa Formation,7,14.812,-87.82,-16.082,-56.956,12.366,-134.852
34160,8468,1478,1,19772.809,Nisutlin Allochthon,9455,NA,Nisutlin Allochthon,NA,NA,322.15,798.499,1875,0,NA,0,0,quartz sandstone siliciclastic sedimentary  ~ 0.3571| conglomerate siliciclastic sedimentary  ~ 0.3571| arkose siliciclastic sedimentary  ~ 0.0714| breccia siliciclastic sedimentary  ~ 0.0714| phyllite metasedimentary metamorphic  ~ 0.0714| tuff volcanic igneous  ~ 0.0714,inferred marine  marine,NA,NA,"Upper unit: dark grey to black siliceous phyllite, quartzite, minor marble and dolomite interlayered with mafic and felsic metavolcanics; sheared chlorite greit in upper part. Also conglomerate, tuff, and volcanic breccia (zU354)

Lower Unit: meta quartz sandstone, arkose, and grit. intruded by granodiorite (zU359)",#FCF768,#000000,141,Morrowan,319,0.25,"34169,34159",203,Hadrynian,850,0.16667,0,Nisutlin Allochthon Formation,10,61.469,-130.617,16.887,-33.12,0,0
4709,941,117,1,3398.422,Unnamed,NA,NA,NA,NA,NA,323.2,2500,0,0,subsurface,0,0,granite plutonic igneous  ~ 1,NA,NA,NA,NA,#004703,#000000,142,Chesterian,323.2,1,4708,131,Proterozoic,2500,0,0,NA,1,37.125,-77,-27.171,-25.392,0,0
4711,942,118,1,4235.743,Unnamed,NA,NA,NA,NA,NA,323.2,2500,0,0,subsurface,0,0,granite plutonic igneous  ~ 0.0909| metamorphic metamorphic metamorphic  ~ 0.4545| volcanic volcanic igneous  ~ 0.4545,NA,NA,NA,metavolcanic and cataclastic rocks,#5A4633,#000000,142,Chesterian,323.2,1,4710,131,Proterozoic,2500,0,0,NA,1,37.466,-76.966,-26.877,-25.197,0,0
16335,4280,520,1,37427.793,Unnamed,NA,NA,NA,NA,NA,323.2,470,2954,0,subsurface,0,0,metamorphic metamorphic metamorphic  ~ 0.25| phyllite metasedimentary metamorphic  ~ 0.25| quartzite metasedimentary metamorphic  ~ 0.25| slate metasedimentary metamorphic  ~ 0.25,NA,NA,NA,NA,#5E3006,#000000,142,Chesterian,323.2,1,16334,168,Whiterock,470,0,16336,NA,1,30.972,-96.442,-20.35,-46.203,2.703,-118.586
25737,7398,1243,7,25422.133,Las Ovejas Fm,9121,NA,Las Ovejas,NA,NA,342.75,479.625,0,0,NA,0,0,gneiss metamorphic metamorphic  ~ 0.25| amphibolite metamorphic metamorphic  ~ 0.25| marble metasedimentary metamorphic  ~ 0.25| schist metamorphic metamorphic  ~ 0.25,NA,NA,[object Object],NA,#634C2E,#000000,92,Visean,330.9,0.25,0,121,Tremadocian,485.4,0.75,0,Las Ovejas Formation,7,14.218,-90.103,-16.956,-79.614,15.131,-134.929
5784,1348,167,1,23744.41,Interior Ouachita Facies,NA,NA,NA,NA,NA,343.5,470,2950,0,NA,0,0,shale siliciclastic sedimentary  ~ 0.4167| limestone carbonate sedimentary  ~ 0.0833| phyllite metasedimentary metamorphic  ~ 0.4167| marble metasedimentary metamorphic  ~ 0.0833,inferred marine  marine,NA,NA,NA,#5A4633,#000000,144,Osagean,343.5,1,5782,168,Whiterock,470,0,5785,NA,1,31.85,-97.116,-25.64,-60.268,3.671,-118.18
33095,7735,1427,1,136426.141,unnamed,NA,NA,NA,NA,NA,349.975,454.2,0,0,NA,0,0,schist metamorphic metamorphic  ~ 1,NA,NA,NA,metavolcanics,#634C2E,#000000,90,Mississippian,323.2,0.25,0,112,Ordovician,485.4,0.75,0,NA,9,20.547,-88.762,-40.239,-62.944,-60.936,-141.087
33216,7750,1419,1,70889.906,unnamed,NA,NA,NA,NA,NA,349.975,454.2,0,0,NA,0,0,metamorphic metamorphic metamorphic  ~ 1,NA,NA,NA,NA,#634C2E,#000000,90,Mississippian,323.2,0.25,0,112,Ordovician,485.4,0.75,0,NA,9,21.332,-98.079,-30.447,-76.088,-22.502,-136.198
33289,7757,1423,1,124513.703,unnamed,NA,NA,NA,NA,NA,349.975,454.2,0,0,NA,0,0,schist metamorphic metamorphic  ~ 0.5| phyllite metasedimentary metamorphic  ~ 0.5,NA,NA,NA,NA,#634C2E,#000000,90,Mississippian,323.2,0.25,0,112,Ordovician,485.4,0.75,0,NA,9,24.603,-98.922,-28.8,-72.716,-19.874,-133.949
33325,7761,1425,1,31485.979,unnamed,NA,NA,NA,NA,NA,349.975,454.2,0,0,NA,0,0,schist metamorphic metamorphic  ~ 0.5| phyllite metasedimentary metamorphic  ~ 0.5,NA,NA,NA,NA,#634C2E,#000000,90,Mississippian,323.2,0.25,0,112,Ordovician,485.4,0.75,0,NA,9,28.442,-101.288,-25.658,-69.278,-15.841,-132.144
34492,8619,1492,1,22186.094,lower Eagle Bay Fm,9629,NA,Eagle Bay,NA,NA,355.85,518.5,1000,1000,NA,0,0,conglomerate siliciclastic sedimentary  ~ 0.5| greenstone metamorphic metamorphic  ~ 0.1| limestone carbonate sedimentary  ~ 0.1| phyllite metasedimentary metamorphic  ~ 0.1| quartzite metasedimentary metamorphic  ~ 0.1|chloritic schist metamorphic metamorphic  ~ 0.1,inferred marine  marine,NA,NA,"Kootenay terrane fm
also contains ser. schist
1000+",#FCF768,#000000,93,Tournaisian,346.7,0.25,"34498,34499,34495,34496",130,Early Cambrian,541,0.75,34495344980,Eagle Bay Formation,10,51.466,-119.911,-1.685,-57.532,31.477,-143.506
4677,919,116,1,6085.872,Fredricksburg Complex,NA,NA,NA,NA,NA,358.9,635,0,0,surface,0,0,gneiss metamorphic metamorphic  ~ 0.1429| granite plutonic igneous  ~ 0.1429| schist metamorphic metamorphic  ~ 0.7143,NA,NA,NA,NA,#5A4633,#000000,146,Conewangan,358.9,1,0,263,Ediacaran,635,0,4678,NA,1,38,-77.183,-45.307,-40.734,0,0
5149,1205,145,1,19089.719,Unnamed,NA,NA,NA,NA,NA,358.9,635,0,0,NA,0,0,igneous igneous igneous  ~ 0.5| metamorphic metamorphic metamorphic  ~ 0.5,NA,NA,NA,NA,#004703,#000000,146,Conewangan,358.9,1,0,263,Ediacaran,635,0,5148,NA,1,33.901,-80.795,-47.111,-47.528,0,0
6784,1719,247,1,10634.984,Shoo Fly Complex,NA,NA,NA,NA,NA,358.9,471.925,4000,0,surface,0,0,schist metamorphic metamorphic  ~ 0.3333| quartzite metasedimentary metamorphic  ~ 0.3333| marble metasedimentary metamorphic  ~ 0.3333,inferred marine  marine,gold mineral precious commodity,NA,NA,#5A4633,#000000,146,Conewangan,358.9,1,0,120,Arenigian,477.7,0.47336,0,NA,1,38.049,-120.335,-10.091,-68.074,24.129,-123.816
